Sno,Profile,Company,Location,Start Date,Duration,Stipend,Apply By,About Internship,Skills Required,Who Can Apply,About Company
1522,Video Editing/Making,Framed Media,Work from home,Immediately,3 Months,"? 8,000-10,000 /month",29 Sep' 24,"Are you a creative individual with a passion for video editing and making? Are you proficient in Adobe Premiere Pro and have a keen eye for detail? If so, we want YOU to join our team as a Video Editing/Making intern at Framed Media company!
As an intern, you will have the opportunity to showcase your talent and work on exciting projects that will be seen by a wide audience. You will collaborate with our team to bring our clients' visions to life and create captivating video content.
Responsibilities:
1) Edit and produce videos for social media platforms, including Instagram, Facebook, and YouTube.
2) Enhancing visuals with motion graphics, sound design, and the latest editing techniques.
3) Keeping up with industry trends to continually improve the quality and engagement of our video content.
4) Providing creative input to help shape the overall content strategy.
This role is perfect for someone who is passionate about video editing, has a keen eye for detail, and is excited to work on diverse projects in a dynamic environment.","['Adobe After Effects', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Framed Media is a digital media and internet company. We are a leading global digital-media company operating in three core verticals - technology, finance, and lifestyle. We produce and distribute premium content across multiple platforms and devices. We deliver advertising, performance marketing, data services, and licensing solutions to clients worldwide."
1523,Empowering Social Entrepreneurs,Basti Ki Pathshala Foundation,Work from home,Immediately,4 Weeks,20% of Total Amount Raised,15 Oct' 24,"Embark on a transformative 4-week journey , where you'll gain invaluable insights into the dynamic world of social impact. Immerse yourself in four distinct tasks, each shedding light on essential aspects of social entrepreneurship.
As a selected intern, you'll be responsible for:
1. Fundraising Mastery (Week 1): Dive into the art of fundraising by actively participating in our Fundraising Department. Grasp effective strategies, engage with donors, and acquire the skills needed to secure financial resources for impactful social initiatives.
2. HR Operations Immersion (Week 2): Uncover the core of HR operations by actively participating in the hiring process. Contribute to recruiting and onboarding a fellow intern, deepening your understanding of team building and fostering a collaborative work environment.
3. Direct Social Impact (Week 3): Make a tangible difference by engaging in meaningful community service activities. Choose a project in your local area, such as tree planting or caring for stray animals, and experience the rewards of contributing to positive change firsthand.
4. Communication & Social Media Mastery (Week 4): Explore the power of effective communication and social media marketing in advancing social causes. Share your social work experiences across various platforms, create compelling content, and inspire others to join the movement.","['Certificate', 'Letter of recommendation', 'Flexible work hours']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 4 weeks
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Basti Ki Pathshala Foundation is a Government-registered organization, established under the Indian Societies Act of 1860. We are a grassroots organization dedicated to breaking the barriers of education in underserved communities. Founded with a mission to provide quality education to children living in slum areas, we strive to create a nurturing learning environment where every child has the opportunity to thrive. Through innovative teaching methods, community engagement, and partnerships, we empower children with the knowledge and skills they need to build a brighter future. Our commitment extends beyond the classroom as we work towards bridging the educational gap and fostering long-term sustainable change in the lives of marginalized families."
1524,Academic Counsellor,Achieve Academy,Hyderabad,Immediately,4 Months,"? 18,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Work closely with the Sales and Marketing team in assisting the growth of the business by acquiring new business leads.
2. Conduct Webinars
3. Pitch and promote ACHIEVE ACADEMY services to prospective clients
4. Career counselling of prospective students and understanding their learning objectives to offer relevant products to them
5. Build sales leads through referrals and cold calling to generate sales (monthly target/revenue oriented)
6. Collaborate with the Sales and Marketing team to plan and oversee new marketing initiatives
7. Set up meetings to prepare and deliver pitches to prospective clients Follow up with potential clients
8. Work with team members to identify and manage risks","['Effective Communication', 'Negotiation & Problem-solving']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Discover  ACHIEVE  ACADEMY,  a pioneering e-learning company revolutionizing education through both online and offline platforms.  Our intuitive interface offers interactive features such as quizzes,  assessments,  and discussion forums to enhance learner engagement.  With a team of expert educators and professionals, we design high-quality courses using cutting-edge technology and pedagogical methods.  Our comprehensive support system.includes course materials,  dedicated instructors, virtual tutors, and vibrant peer communities, ensuring student success in their educational endeavors. Whether advancing careers or exploring new interests, Achieve Academy caters to diverse aspirations. Join our dynamic learning community today and embark on a journey of personal and professional development!"
1525,"Web Development, Designing",BCA CLASSES IN RANCHI,Ranchi,Immediately,3 Months,"? 2,000 /month +  Incentives",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Help us in our designing problems
2. Also have some knowledge of web development
3. Wordpress","['Certificate', 'Letter of recommendation', 'Flexible work hours']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","BCA Classes in Ranchi offers comprehensive and industry-relevant education for students pursuing a Bachelor of Computer Applications (BCA). With expert faculty, a modern curriculum, and hands-on training in the latest technologies, we aim to prepare students for the fast-evolving IT industry. Our institute is equipped with 5 smart classrooms, advanced infrastructure, and a state-of-the-art DigiLern system for video-based learning. We also offer practical exposure through live projects, coding workshops, and access to professional tools."
1526,Production,Tushe Studio,Noida,Immediately,3 Months,"? 5,000-10,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Production management
2. Logistics management
3. Coordination between teams
4. Overlooking artisans and tailors",['Operations'],"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","At Tushe, we recognize the diversity of Indian body types in dressing. It's not just about sizes; it's about celebrating every curve, every contour, and every uniqueness that defines the Indian physique.We are committed to size inclusivity, ensuring that every individual, irrespective of their size or shape, finds clothes that fit them perfectly and make them feel confident. We're not here to follow fleeting trends; we're here to create enduring classics. Our focus is on crafting garments that stand the test of time, embodying old-money timeless aesthetic."
1527,Content Writing,NV Shoppe Sales And Marketing,Noida,Immediately,3 Months,"? 12,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Writing and Editing: Creating well-structured drafts and editing content for clarity, grammar, and style.
2. SEO Optimization: Incorporating SEO best practices to increase web traffic.
3. Content Planning: Assisting in the development of content calendars and strategies.
4. Collaboration: Working closely with marketing and design teams to ensure content aligns with brand guidelines.
5. Social Media: Creating engaging content for social media platforms.
6. Proofreading: Reviewing and proofreading content before publication.
7. Analytics: Monitoring and analyzing the performance of content using tools like Google Analytics.","['Blogging', 'Creative Writing', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Noida and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","NV Shoppe Sales and Marketing Private Limited is a direct selling company based in India. They offer a wide range of products, including groceries, electronics, personal care items, and household cleaning products. The company aims to provide a convenient online shopping experience, allowing customers to shop from the comfort of their homes1.NV Shoppe was registered under the Ministry of Corporate Affairs (MCA) on August 21, 2020, and its head office is located in Delhi2. The company is led by directors Sandeep, Sangeeta, and Meenakshi Yadav2.Their business model focuses on direct selling, which involves selling products directly to consumers, often through a network of sales representatives. This approach allows them to build strong customer relationships and offer personalized service"
1528,Graphic Design,Envyt.in,Work from home,Immediately,6 Months,"? 5,000-7,000 /month",15 Oct' 24,"We are looking for a talented Graphic Design intern to join our team! If you are proficient in Adobe Photoshop, then this is the perfect opportunity for you to gain valuable hands-on experience in the industry.
If you know Premier pro and After Effects, it is an added advantage
Key Responsibilities:
1. Editing Caricatures in photoshop
2. Create eye-catching graphics and visual content for social media, marketing materials, and website
3. Assist in video editing and motion graphics
4. Ensure brand consistency across all platforms and materials
If you are a passionate and motivated individual with a strong design portfolio, we want to hear from you! Apply now for this exciting opportunity to kickstart your graphic design career.","['Adobe After Effects', 'Adobe Photoshop', 'Adobe Premiere Pro']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests",We are team of designers who create designs particularly for wedding. We are looking for someone to creare caricatures
1529,Search Engine Optimization (SEO),Makoons Play School,Work from home,Immediately,3 Months,"? 2,000 /month",29 Sep' 24,"As a Search Engine Optimization (SEO) intern at Makoons Group of schools, you will have the opportunity to work closely with our digital marketing team to enhance our online presence and drive traffic to our website. Your knowledge of SEO, content writing, digital marketing, and SEM will be invaluable in optimizing our website for search engines and increasing our visibility online.
Key Responsibilities:
1. Conduct keyword research and implement SEO strategies to improve website ranking.
2. Create engaging and SEO-friendly content for our website, blog, and social media platforms.
3. Assist in the development and implementation of digital marketing campaigns.
4. Monitor and analyze website traffic and performance using analytics tools.
5. Optimize website content for mobile and voice search.
6. Collaborate with the marketing team to brainstorm new ideas and strategies for improving SEO.
7. Stay up-to-date on SEO trends and best practices to ensure our website remains competitive in search engine results.
If you are passionate about digital marketing and eager to gain hands-on experience in SEO, this internship opportunity at Makoons Play School is perfect for you. Join our team and help us drive success through effective search engine optimization strategies.","['Content Writing', 'Digital Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","We are in the preschool franchise business with pre-schools operating pan India. A leading preschool brand Makoons, the company has a strong presence, brand value, and professional culture in the preschool industry and offers exponential growth to its stakeholders."
1530,Website Designing,GEMA Education Technology Private Limited,Work from home,Immediately,3 Months,"? 1,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Creating and managing a website on WordPress
2. Uploading and customizing the WordPress theme on the website
3. Adding plugins and Google Analytics","['CSS', 'HTML', 'WordPress']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","GEMA Education Technology Private Limited is an innovative education platform that offers a variety of engaging, small-group classes online. Unlike traditional classes, GEMA classes give kids the unique opportunity to explore their interests in-depth via interactive, live videos by experienced, independent educators. When GEMA was founded in 2019, homeschoolers were the first to discover our classes, but it wasn't long before kids in conventional schools began supplementing their education with fun and unique, interest-based classes. During the COVID-19 pandemic, GEMA became vital to families who wanted to keep kids learning, social, and pursuing their passions. Today, GEMA offers more than 140,000 live online classes to more than 1,000,000 learners in 183 countries worldwide."
1531,Telecalling,GetInnGO,Work from home,Immediately,3 Months,"? 4,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Conducting outbound calls to Hotels, BnB's, Homestays, and other property owners to make them list their properties on our website.
2. Make maximum number of calls in a day.
3. Maintain an Accurate Record for the same.","['English Proficiency (Spoken)', 'Facebook Marketing', 'Hindi Proficiency (Spoken)', 'Instagram Marketing', 'Lead Generation', 'Sales', 'Sales pitch']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","GetInnGO is a dynamic vacation rental platform connecting travelers with unique stays around the world. Whether it's a cozy apartment, a luxurious villa, or a charming cabin, GetInnGO offers a diverse range of properties for every kind of getaway. We empower hosts to turn their spaces into income-generating opportunities while providing guests with memorable and personalized travel experiences. With user-friendly tools, secure booking, and exceptional customer support, GetInnGO is your go-to platform for exploring and hosting amazing stays."
1532,Sales,Neevilas,Delhi,Immediately,2 Months,"? 5,000 lump sum",15 Oct' 24,"Join Our Team! We Are Hiring
Are you passionate about real estate and eager to kickstart your career? Neevilas Homes is looking for enthusiastic individuals to join our dynamic team as Sales Interns
Position: Sales Intern
Location:  Sabhapur Extension, Delhi
Availability: Immediate Joining Preferred
Salary: Competitive stipend based on experience and performance
Selected intern's day-to-day responsibilities include:
1. Assist with property listings, market research, and client interactions.
2. Support the sales team in day-to-day operations and client meetings.
3. Gain hands-on experience in the real estate industry and develop valuable skills.
Why Join Us?
1. Opportunity to work with a leading real estate firm.
2. Gain practical experience and insights into the real estate market.
3. Work in a supportive and collaborative environment.
Call Us: +91 8090100244",[],"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 14th Sep'24 and 19th Oct'24
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",We are hiring for the role of a Senior Telesales executive in real Estate in our organization Neevilas Homes. We are a 4 decade old experienced boutique real estate builder firm with ten-figure assets under its belt we have a monopoly in one part of Delhi and want to expand our wings to other parts of NCR by completing a 200-acre project in North East Delhi.
1533,Social Media Marketing,PRITANISH Fintech Private Limited,Jaipur,Immediately,2 Months,"? 5,000-8,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Create and manage company profile on various platforms
2. Suggest different strategies to increase online presence of the brand","['Digital Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Jaipur
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",We are service provider to NBFCs and Banks company situated in Vaishalinagar Jaipur.We are a new company and looking for social marketing interns.
1534,Human Resources (HR),Ghackk Technologies,Delhi,Immediately,3 Months,"? 10,000-20,000 /month",15 Oct' 24,"Are you a detail-oriented and organized individual looking to gain hands-on experience in Human Resources and Project Management? Look no further than Ghackk Technologies! As an HR intern with us, you will have the opportunity to work closely with our HR team, assisting with various projects and tasks to support our employees and company growth. Your proficiency in English, both spoken and written, as well as your knowledge of MS-Office tools, will be valuable assets in this role. Your excellent interpersonal skills will also come in handy as you interact with employees and assist with various HR initiatives. Join us and be a part of our dynamic team as we strive for excellence in our operations and employee experience.
1. Assist with recruitment efforts by sourcing candidates, scheduling interviews, and coordinating with hiring managers.
2. Support HR team with onboarding new employees, including preparing paperwork and conducting orientation sessions.
3. Assist with employee relations tasks, such as resolving conflicts and addressing employee concerns.
4. Help with HR data management and reporting, ensuring accuracy and confidentiality of employee information.
5. Support HR projects and initiatives, such as performance management processes and training programs.
6. Assist with compliance efforts, including maintaining employee records and ensuring adherence to company policies.
7. Collaborate with team members on various HR tasks and projects, contributing to a positive and productive work environment.
8. Oversee daily office operations.
9. Provide administrative support to management and staff.
10. Manage office budgets and expenses.","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Interpersonal Skills', 'MS-Excel', 'MS-Office', 'MS-Word', 'Project Management']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","About us: We are a forward-thinking technology company dedicated to revolutionizing the way we approach everyday challenges through innovation and creativity. At Ghackk Technologies, we believe in harnessing the power of technology to simplify complexities and drive positive change. Our team of skilled professionals is committed to delivering cutting-edge solutions that address the unique needs of our clients.Our mission: Our mission is simple yet ambitious: To hack solutions to the everyday problems faced by individuals and businesses alike. By combining expertise in technology with a deep understanding of our client's needs, we strive to deliver results that exceed expectations and drive real value.Why connect with us: Innovative solutions: We're not just problem-solvers; we're innovators. We're constantly exploring new technologies and methodologies to deliver solutions that are ahead of the curve."
1535,Data Entry,TradeHike Consulting,Delhi,Immediately,3 Months,"? 5,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Input Data:  Accurately and efficiently enter data from various sources (e.g., forms, surveys, documents, sheets, and Apollo) into computer systems.
2. Update Records:  Regularly update and maintain existing data to ensure it is current, correct, and relevant.
3. Organize Data:  Sort and categorize data for easy retrieval and analysis by different departments.
4. Data Management:  Ensure proper storage and regular backups of data according to company protocols and standards.
5. Confidentiality:  Handle sensitive and confidential information with the highest level of discretion and comply with data privacy regulations.
6. System Maintenance:  Assist in maintaining and updating data entry systems and software to enhance efficiency.
7. Research & Create Data:  Research and create data for various projects, ensuring the data is accurate, relevant, and organized for project use.
Qualifications:
1. Proficiency with Data Entry Tools:
2. Experience with Apollo (preferred for lead generation).
3. Proficiency in Microsoft Excel, Google Sheets, or other spreadsheet tools.
4. Basic knowledge of CRM tools or database management systems is a plus.
5. Familiarity with data management software and systems maintenance.
6. Strong organizational skills with the ability to maintain accuracy while managing large datasets.","['English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","We are a complete e-commerce management agency helping e-commerce businesses grow through our data-driven UX design, development, CRO, and marketing services."
1536,Digital Marketing,Ghackk Technologies,Delhi,Immediately,3 Months,"? 12,000-18,000 /month",15 Oct' 24,"As a Digital Marketing intern at Ghackk Technologies, you will have the exciting opportunity to work with a team of experts in the field while gaining hands-on experience in various aspects of digital marketing. Your role will involve optimizing online campaigns, analyzing performance metrics, and creating engaging content across platforms like Facebook, YouTube, Google, and Instagram.
Key Responsibilities:
1. Assist in the creation and implementation of digital marketing strategies
2. Manage and optimize Facebook Ads, YouTube Ads, Google AdWords campaigns
3. Monitor and analyze performance data using Google Analytics
4. Develop and execute social media and content marketing initiatives
5. Support email marketing and search engine marketing efforts
6. Collaborate with team members on SEO strategies and techniques
7. Utilize creative writing skills for engaging social media and website content
If you are a proactive individual with a passion for digital marketing and a strong proficiency in English, this internship is the perfect opportunity for you to enhance your skills and contribute to our innovative campaigns. Join us at Ghackk Technologies and take your first step towards a successful career in digital marketing.","['Content Marketing', 'Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Ads', 'Facebook Marketing', 'Google AdWords', 'Google Analytics', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'YouTube Ads']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","About us: We are a forward-thinking technology company dedicated to revolutionizing the way we approach everyday challenges through innovation and creativity. At Ghackk Technologies, we believe in harnessing the power of technology to simplify complexities and drive positive change. Our team of skilled professionals is committed to delivering cutting-edge solutions that address the unique needs of our clients.Our mission: Our mission is simple yet ambitious: To hack solutions to the everyday problems faced by individuals and businesses alike. By combining expertise in technology with a deep understanding of our client's needs, we strive to deliver results that exceed expectations and drive real value.Why connect with us: Innovative solutions: We're not just problem-solvers; we're innovators. We're constantly exploring new technologies and methodologies to deliver solutions that are ahead of the curve."
1537,Social Media Marketing,Flying Pigeon Solutions,Jaipur,Immediately,6 Months,"? 8,000-10,000 /month",29 Sep' 24,"Are you a social media savvy individual with a passion for digital marketing and content creation? We are seeking a dynamic Social Media Marketing intern to join our team at Flying Pigeon Solutions. This is a unique opportunity to gain hands-on experience in Facebook and Instagram marketing, creative writing, email marketing, SEO, SEM, and more.
Key responsibilities:
1. Develop and implement social media marketing strategies to increase brand awareness and engagement.
2. Create compelling and engaging content for social media platforms.
3. Monitor and analyze social media performance metrics to optimize campaigns.
4. Assist in the planning and execution of email marketing campaigns.
5. Collaborate with the digital marketing team to improve SEO and SEM strategies.
6. Stay up-to-date on the latest trends and best practices in social media marketing.
7. Contribute innovative ideas to enhance our online presence and drive business growth.
If you are a self-motivated individual with excellent English proficiency and a creative mindset, we want to hear from you! Join us at Flying Pigeon Solutions and take your social media marketing skills to new heights. Apply now and soar with us!","['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 6 months
4.  are from or open to relocate to Jaipur
5. have relevant skills and interests","Welcome to Flying Pigeon Solutions, where education meets expertise in the world of stock trading. We are dedicated to guiding aspiring traders and investors through the complexities of the financial markets with our premier educational courses and dynamic live trading sessions. At Flying Pigeon Solutions, we offer a wide range of online courses designed to elevate your trading skills."
1538,Social Media Marketing,"The Doodle Desk (Gurgaon, India)","Chennai, Dubai (United Arab Emirates), Kolkata, Pune, Bangalore, Hyderabad, New York (United States), Mumbai, Gurgaon",Immediately,2 Months,"? 5,000 /month",29 Sep' 24,"About The Doodle Desk (TDD)
The Doodledesk (TDD) focuses on ""the art of spreading joy"" using illustrations with a positive message. The startup focuses on improving mental health and boosting the happiness of the world. The brand kickstarted various uplifting challenges including ""30 Day Happy Challenge"", ""Joyous June"" which are Positive affirmations & self-help motivation.
instagram.com/thedoodledesk
thedoodledesk.com
We at The Doodle Desk are looking for a content/social media intern to join our team.
Selected intern's day-to-day responsibilities include:
1. Create content for social media platforms or any other extensions/handles of the brand
2. Support and plan brand activities
3. Work on community management and ORM (online responses and reputation management) on brand handles/website
4. Create and publish social media and website content
5. Manage weekly newsletter
6. Perform social audit and analysis of the brand's social presence
7. Handle brand campaigns and execute them end to end
8. Work on daily and weekly reporting as per set formats","['Canva', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 2 months
4.  are from or open to relocate to Chennai, Dubai, Kolkata, Pune, Bangalore, Hyderabad, New York, Mumbai, Gurgaon and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","The Doodle Desk is a small-sized organization, created with a vision to leverage art to spread joy in the world. Our teams of optimists and first-movers constantly aim to help people discover everything that they are capable of and deserve."
1539,Product Marketing,B E Asia Private Limited,"Jamnagar, Rajkot",Immediately,3 Months,"? 10,000-15,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Visit of all industrial customer for engineering products
2. Collect data of existing product",['English Proficiency (Written)'],"Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","We are pleased to introduce our company M/s B E Asia Pvt Ltd (Formerly Known as Bharti Engineering), Rajkot. We have a team of 75 skilled engineers dealing with niche Products in Valves, Pumps, Pipe Fittings, gaskets, Fabrication and Precision Products. We represent more than 32 Reputed companies and have a small Manufacturing facility at Baroda for Skids and Fabrication.Our business is divided into 4 segments.1.  Distribution2.     Manufacturing3.     Liasioning4.     Sourcing Solution ( One Source Point(OSP) - Platform) Eg. Kits and Supplier consolidation"
1540,Graphic Design,Vision Marshals,Pune,Immediately,3 Months,"? 10,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Collaborate with the creative team to design visual assets for social media, websites, and digital marketing campaigns.
2. Assist in creating unique brand identities, logos, and packaging design. Work on typography, color schemes, and layouts for both digital and print media.
3. Support the team in developing creative content for marketing campaigns, presentations, and pitch decks.
4. Conduct research to stay updated with the latest design trends and apply them to live projects.
5. Manage multiple design projects simultaneously while maintaining attention to detail and meeting deadlines.","['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Video Editing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Vision Marshals is a dynamic firm specializing in data-driven digital marketing solutions. We partner with businesses of all sizes to create, implement, and optimize multi-channel marketing campaigns that drive lead generation, customer acquisition, and revenue growth.Our expert consultants leverage advanced analytics and cutting-edge technologies to ensure clients achieve the highest return on investment for their marketing efforts. From strategy development to execution and ongoing optimization, Vision Marshals is dedicated to helping clients succeed in the competitive digital landscape."
1541,YouTube Manager,Budding Mariners,Work from home,Immediately,4 Months,"? 3,000 /month",15 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Recruit interns to assist with video editing and thumbnail creation
2. Develop and execute a content strategy tailored to our YouTube channel, aligning with our brand identity and target demographic
3. Collaborate with content creators and edit the content (video editing)
4. Enhance video discoverability and visibility on YouTube by optimizing titles, descriptions, tags, and thumbna
6. Utilize YouTube analytics tools to track and assess video performance, regularly furnishing reports on channel growth and progre
8. Explore and implement strategies for monetization, including ad revenue, sponsorships, and promoting merchandise
9. Ensure all content complies with YouTube's policies and copyright regulations to prevent any potential copyright infringements or legal complications","['Canva', 'Content Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing', 'Video Editing']","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Budding Mariners is an innovative educational platform that caters to aspiring mariners looking to make a career in the merchant navy. With a focus on preparing candidates for IMU-CET and company sponsorship, Budding Mariners has successfully trained and assisted over a thousand aspirants from all over India. Our expert trainers and mentors provide comprehensive training and guidance to help candidates excel in the highly competitive merchant navy selection process. Budding Mariners is committed to providing a world-class education that empowers candidates with the skills and knowledge required to succeed in their chosen profession."
1542,Android App Development,4 Bits Solution LLP,Bangalore,Immediately,6 Months,"? 2,000 /month",29 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Work on coding end-to-end designing
2. Integrate API and write business logic
3. Design Android UI","['Android', 'Firebase', 'Java', 'Kotlin', 'REST API', 'XML']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 15th Sep'24 and 20th Oct'24
3. are available for duration of 6 months
4.  are from or open to relocate to Bangalore
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","4 Bits Solutions is an organization that expertises in mobile application development, website development, SEO, and digital marketing.  We provide all kinds of solutions- B2B, B2C, B2E. We also provide IoT and cloud-based solutions as well. Our organization comprises of a team with an average experience of 6 years in myriad technologies. In 4 Bits Solutions, you can name any technology and you would get solutions for the same.  To name a few, we work on - Swift, Objective - C (for iOS Development), Java (for Android Development), J2EE (frameworks like Spring Boot, Hibernate), PHP (frameworks like CodeIgnitor, Larval, CakePHP, Drupal, Wordpress), .Net, Angular, NodeJS, React JS. We also provide hybrid mobile application technologies like React Native, Flutter (using Dart). We are here to help businesses grow and strive to provide solutions to address our many days to day problems. We make products which strive to resolve the problems of our daily life."
